Row,allPara1,allPara2,allPara3,allPara4,allPara5,allPara6,allPara7,allPara8,allPara9,allPara10,allPara11,allPara12,allPara13,allPara14,allPara15,allPara16,allPara17,allPara18,allPara19,allPara20,allPara21,allPara22,allPara23,allPara24,allPara25,allPara26,allPara27,allPara28,allPara29,allPara30,allPara31,allPara32,allPara33,allPara34,allPara35,allPara36,allPara37,allPara38,allPara39,allPara40,allPara41,allPara42,allPara43,allPara44,allPara45,allPara46,allPara47,allPara48,allPara49,allPara50,allPara51,allPara52,allPara53,allPara54,allPara55,allPara56,allPara57,allPara58,allPara59,allPara60,allPara61,allPara62,allPara63,allPara64,allPara65,allPara66,allPara67,allPara68,allPara69,allPara70,allPara71,allPara72,allPara73,allPara74,allPara75,allPara76,allPara77,allPara78,allPara79,allPara80,allPara81,allPara82,allPara83,allPara84,allPara85,allPara86,allPara87,allPara88,allPara89,allPara90,allPara91,allPara92,allPara93,allPara94,allPara95,allPara96,allPara97,allPara98,allPara99,allPara100,allPara101,allPara102,allPara103,allPara104,allPara105,allPara106,allPara107,allPara108,allPara109,allPara110,allPara111,allPara112,allPara113,allPara114,allPara115,allPara116,allPara117,allPara118,allPara119,allPara120,allPara121,allPara122,allPara123,allPara124,allPara125,allPara126,allPara127,allPara128,allPara129,allPara130,allPara131,allPara132,allPara133,allPara134,allPara135,allPara136,allPara137,allPara138,allPara139,allPara140,allPara141,allPara142,allPara143,allPara144,allPara145,allPara146,allPara147,allPara148,allPara149,allPara150,allPara151,allPara152,allPara153,allPara154,allPara155,allPara156,allPara157,allPara158,allPara159,allPara160,allPara161,allPara162,allPara163,allPara164,allPara165,allPara166,allPara167,allPara168,allPara169,allPara170,allPara171,allPara172,allPara173,allPara174,allPara175,allPara176,allPara177,allPara178,allPara179,allPara180,allPara181,allPara182,allPara183,allPara184,allPara185,allPara186,allPara187,allPara188,allPara189,allPara190,allPara191,allPara192,allPara193,allPara194,allPara195,allPara196,allPara197,allPara198,allPara199,allPara200,allPara201,allPara202,allPara203,allPara204,allPara205,allPara206,allPara207,allPara208,allPara209,allPara210,allPara211,allPara212,allPara213,allPara214,allPara215,allPara216,allPara217,allPara218,allPara219,allPara220,allPara221,allPara222,allPara223,allPara224,allPara225,allPara226,allPara227,allPara228,allPara229,allPara230,allPara231,allPara232,allPara233,allPara234,allPara235,allPara236,allPara237,allPara238,allPara239,allPara240,allPara241,allPara242,allPara243,allPara244,allPara245,allPara246,allPara247,allPara248,allPara249,allPara250,allPara251,allPara252,allPara253,allPara254,allPara255,allPara256,allPara257,allPara258,allPara259,allPara260,allPara261,allPara262,allPara263,allPara264,allPara265,allPara266,allPara267,allPara268,allPara269,allPara270,allPara271,allPara272,allPara273,allPara274,allPara275,allPara276,allPara277,allPara278,allPara279,allPara280,allPara281,allPara282,allPara283,allPara284,allPara285,allPara286,allPara287,allPara288,allPara289,allPara290,allPara291,allPara292,allPara293,allPara294,allPara295,allPara296,allPara297,allPara298,allPara299,allPara300,allPara301,allPara302,allPara303,allPara304,allPara305,allPara306,allPara307,allPara308,allPara309,allPara310,allPara311,allPara312,allPara313,allPara314,allPara315,allPara316,allPara317,allPara318,allPara319,allPara320,allPara321,allPara322,allPara323,allPara324,allPara325,allPara326,allPara327,allPara328,allPara329,allPara330,allPara331,allPara332,allPara333,allPara334,allPara335,allPara336,allPara337,allPara338,allPara339,allPara340,allPara341,allPara342,allPara343,allPara344,allPara345,allPara346,allPara347,allPara348,allPara349,allPara350,allPara351,allPara352,allPara353,allPara354,allPara355,allPara356,allPara357,allPara358,allPara359,allPara360,allPara361,allPara362,allPara363,allPara364
stimulatorChannel,100,100,8,8,1,22,64,22,64,100,46,8,22,100,43,8,57,19,19,19,8,57,46,46,22,19,19,64,1,46,64,43,64,43,46,43,43,64,8,100,19,19,46,19,64,19,100,64,22,100,57,46,8,46,100,46,8,22,57,1,43,19,8,8,100,57,43,8,46,46,1,64,22,57,46,46,19,22,43,22,22,1,64,19,57,1,100,8,64,19,19,19,19,8,100,57,43,46,1,100,100,57,57,43,64,43,64,22,57,46,57,8,57,43,64,43,22,1,8,43,46,57,57,46,100,1,100,1,1,43,19,46,19,100,22,64,8,46,64,19,57,46,22,22,22,43,1,43,19,1,46,1,22,22,8,46,1,22,22,43,22,19,19,43,64,64,22,43,1,100,19,1,57,19,100,57,57,46,22,46,57,43,19,64,46,8,57,19,57,43,46,43,19,57,8,1,1,8,100,1,64,1,64,19,22,100,64,64,57,57,1,43,1,19,8,8,22,46,8,46,8,8,46,43,8,64,43,100,8,1,64,1,64,1,8,64,100,46,100,22,43,8,43,1,64,1,100,100,100,64,46,8,1,22,100,100,19,46,46,64,22,22,19,8,43,19,46,1,19,22,46,43,64,1,22,8,100,57,100,57,22,43,57,100,100,100,8,57,57,19,43,100,43,64,1,22,43,43,64,19,57,1,43,46,22,46,1,46,64,1,22,100,64,57,1,43,100,100,100,22,57,8,1,8,57,57,1,19,46,100,57,19,22,19,22,57,64,8,57,64,64,19,43,22,57,64,100,8,1,64,43,57,43,19,1,8,8,8,46,22,19,19,1,1
freq,200,200,300,300,300,300,300,300,300,200,300,300,300,200,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,200,300,300,300,300,300,300,200,300,300,200,300,300,300,300,200,300,300,300,300,300,300,300,300,300,200,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,200,300,300,300,300,300,300,300,200,300,300,300,300,200,200,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,200,300,200,300,300,300,300,300,300,200,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,200,300,300,300,300,200,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,200,300,300,300,300,300,300,200,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,200,300,300,300,300,300,300,300,300,200,300,200,300,300,300,300,300,300,300,200,200,200,300,300,300,300,300,200,200,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,200,300,200,300,300,300,300,200,200,200,300,300,300,300,300,200,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,200,300,300,300,300,200,200,200,300,300,300,300,300,300,300,300,300,300,200,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,200,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
currentLevel,3,3,10,80,80,20,40,80,40,3,80,40,80,3,10,10,20,20,20,80,10,80,40,80,20,80,20,40,80,10,20,80,40,10,80,80,80,80,10,3,20,40,10,20,20,80,3,80,10,3,10,40,40,20,3,20,20,40,40,20,80,80,40,20,3,20,10,20,10,10,80,10,80,10,40,10,80,80,80,10,20,20,20,10,40,80,3,80,20,10,80,40,40,40,3,10,40,40,80,3,3,80,40,40,10,40,20,40,40,40,10,20,20,20,10,20,10,10,80,10,20,80,10,10,3,10,3,10,40,20,20,20,10,3,40,10,20,80,10,80,20,20,10,20,80,80,10,20,20,40,20,40,10,40,80,80,80,20,20,40,40,40,10,10,10,20,40,40,10,3,20,20,80,40,3,20,20,80,10,20,40,80,10,80,80,40,10,10,20,40,40,80,80,20,10,40,20,10,3,10,20,40,40,10,40,3,80,20,80,10,10,20,40,40,10,10,10,20,40,80,80,80,20,10,20,10,20,3,40,20,80,80,80,80,10,20,3,40,3,80,40,40,80,20,20,40,3,3,3,10,40,20,10,10,3,3,10,10,40,80,20,10,20,20,20,80,80,20,40,10,80,10,40,10,40,20,3,80,3,80,80,20,80,3,3,3,10,40,10,80,10,3,20,80,20,20,40,10,40,40,40,20,40,10,80,20,80,10,80,40,80,3,10,40,20,20,3,3,3,40,40,40,10,20,40,80,40,20,40,3,10,10,40,10,20,80,40,40,20,10,40,40,40,80,10,40,3,80,40,80,80,20,10,40,80,80,80,80,10,20,40,40,20,20
numPulses,54,54,50,50,50,50,50,50,50,75,50,50,50,51,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,89,50,50,50,50,50,50,75,50,50,78,50,50,50,50,89,50,50,50,50,50,50,50,50,50,75,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,54,50,50,50,50,50,50,50,78,50,50,50,50,33,78,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,78,50,33,50,50,50,50,50,50,40,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,89,50,50,50,50,33,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,51,50,50,50,50,50,50,96,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,89,50,50,50,50,50,50,50,50,75,50,96,50,50,50,50,50,50,50,75,51,96,50,50,50,50,50,89,40,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,96,50,51,50,50,50,50,33,40,51,50,50,50,50,50,33,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,40,50,50,50,50,96,40,54,50,50,50,50,50,50,50,50,50,50,78,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,54,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
phaseWidth,4,4,170,170,170,170,170,170,170,5,170,170,170,3,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,7,170,170,170,170,170,170,5,170,170,6,170,170,170,170,7,170,170,170,170,170,170,170,170,170,5,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,4,170,170,170,170,170,170,170,6,170,170,170,170,1,6,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,6,170,1,170,170,170,170,170,170,2,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,7,170,170,170,170,1,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,3,170,170,170,170,170,170,8,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,7,170,170,170,170,170,170,170,170,5,170,8,170,170,170,170,170,170,170,5,3,8,170,170,170,170,170,7,2,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,8,170,3,170,170,170,170,1,2,3,170,170,170,170,170,1,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,2,170,170,170,170,8,2,4,170,170,170,170,170,170,170,170,170,170,6,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,4,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170
interphase,310,310,60,60,60,60,60,60,60,331,60,60,60,307,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,345,60,60,60,60,60,60,331,60,60,334,60,60,60,60,345,60,60,60,60,60,60,60,60,60,331,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,310,60,60,60,60,60,60,60,334,60,60,60,60,289,334,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,334,60,289,60,60,60,60,60,60,296,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,345,60,60,60,60,289,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,307,60,60,60,60,60,60,352,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,345,60,60,60,60,60,60,60,60,331,60,352,60,60,60,60,60,60,60,331,307,352,60,60,60,60,60,345,296,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,352,60,307,60,60,60,60,289,296,307,60,60,60,60,60,289,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,296,60,60,60,60,352,296,310,60,60,60,60,60,60,60,60,60,60,334,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,310,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
stimulatorHW_ID,-1,-1,65377,65377,65377,65377,65377,65377,65377,-1,65377,65377,65377,-1,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,-1,65377,65377,65377,65377,65377,65377,-1,65377,65377,-1,65377,65377,65377,65377,-1,65377,65377,65377,65377,65377,65377,65377,65377,65377,-1,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,-1,65377,65377,65377,65377,65377,65377,65377,-1,65377,65377,65377,65377,-1,-1,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,-1,65377,-1,65377,65377,65377,65377,65377,65377,-1,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,-1,65377,65377,65377,65377,-1,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,-1,65377,65377,65377,65377,65377,65377,-1,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,-1,65377,65377,65377,65377,65377,65377,65377,65377,-1,65377,-1,65377,65377,65377,65377,65377,65377,65377,-1,-1,-1,65377,65377,65377,65377,65377,-1,-1,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,-1,65377,-1,65377,65377,65377,65377,-1,-1,-1,65377,65377,65377,65377,65377,-1,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,-1,65377,65377,65377,65377,-1,-1,-1,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,-1,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,-1,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377,65377
backgroundLum,-1,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1,0.5,0.5,0.5,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1,0.5,0.5,0.5,0.5,0.5,0.5,-1,0.5,0.5,-1,0.5,0.5,0.5,0.5,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1,0.5,0.5,0.5,0.5,-1,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1,0.5,-1,0.5,0.5,0.5,0.5,0.5,0.5,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1,0.5,0.5,0.5,0.5,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1,0.5,0.5,0.5,0.5,0.5,0.5,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1,0.5,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1,-1,-1,0.5,0.5,0.5,0.5,0.5,-1,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1,0.5,-1,0.5,0.5,0.5,0.5,-1,-1,-1,0.5,0.5,0.5,0.5,0.5,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1,0.5,0.5,0.5,0.5,-1,-1,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
CondID,-1,-1,5,8,4,14,31,16,31,-1,24,7,16,-1,17,5,26,10,10,12,5,28,23,24,14,12,10,31,4,21,30,20,31,17,24,20,20,32,5,-1,10,11,21,10,30,12,-1,32,13,-1,25,23,7,22,-1,22,6,15,27,2,20,12,7,6,-1,26,17,6,21,21,4,29,16,25,23,21,12,16,20,13,14,2,30,9,27,4,-1,8,30,9,12,11,11,7,-1,25,19,23,4,-1,-1,28,27,19,29,19,30,15,27,23,25,6,26,18,29,18,13,1,8,17,22,28,25,21,-1,1,-1,1,3,18,10,22,9,-1,15,29,6,24,29,12,26,22,13,14,16,20,1,18,10,3,22,3,13,15,8,24,4,14,14,19,15,11,9,17,29,30,15,19,1,-1,10,2,28,11,-1,26,26,24,13,22,27,20,9,32,24,7,25,9,26,19,23,20,12,26,5,3,2,5,-1,1,30,3,31,9,15,-1,32,30,28,25,1,18,3,11,5,5,13,22,7,24,8,8,22,17,6,29,18,-1,7,2,32,4,32,4,5,30,-1,23,-1,16,19,7,20,2,30,3,-1,-1,-1,29,23,6,1,13,-1,-1,9,21,23,32,14,13,10,6,18,12,24,2,11,13,24,17,31,1,15,6,-1,28,-1,28,16,18,28,-1,-1,-1,5,27,25,12,17,-1,18,32,2,14,19,17,31,11,27,2,19,21,16,22,4,21,32,3,16,-1,29,27,2,18,-1,-1,-1,15,27,7,1,6,27,28,3,10,23,-1,25,9,15,9,14,28,31,7,26,29,31,11,19,16,25,31,-1,8,3,32,20,26,17,11,4,8,8,8,21,14,11,11,2,2
ValidTrialFlag,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
errorCodeString,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,StimBreak,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,StimBreak,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,StimBreak,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,StimBreak,correct
microStimFlag,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
