Row,allPara1,allPara2,allPara3,allPara4,allPara5,allPara6,allPara7,allPara8,allPara9,allPara10,allPara11,allPara12,allPara13,allPara14,allPara15,allPara16,allPara17,allPara18,allPara19,allPara20,allPara21,allPara22,allPara23,allPara24,allPara25,allPara26,allPara27,allPara28,allPara29,allPara30,allPara31,allPara32,allPara33,allPara34,allPara35,allPara36,allPara37,allPara38,allPara39,allPara40,allPara41,allPara42,allPara43,allPara44,allPara45,allPara46,allPara47,allPara48,allPara49,allPara50,allPara51,allPara52,allPara53,allPara54,allPara55,allPara56,allPara57,allPara58,allPara59,allPara60,allPara61,allPara62,allPara63,allPara64,allPara65,allPara66,allPara67,allPara68,allPara69,allPara70,allPara71,allPara72,allPara73,allPara74,allPara75,allPara76,allPara77,allPara78,allPara79,allPara80,allPara81,allPara82,allPara83,allPara84,allPara85,allPara86,allPara87,allPara88,allPara89,allPara90,allPara91,allPara92,allPara93,allPara94,allPara95,allPara96,allPara97,allPara98,allPara99,allPara100,allPara101,allPara102,allPara103,allPara104,allPara105,allPara106,allPara107,allPara108,allPara109,allPara110,allPara111,allPara112,allPara113,allPara114,allPara115,allPara116,allPara117,allPara118,allPara119,allPara120,allPara121,allPara122,allPara123,allPara124,allPara125,allPara126,allPara127,allPara128,allPara129,allPara130,allPara131,allPara132,allPara133,allPara134,allPara135,allPara136,allPara137,allPara138,allPara139,allPara140,allPara141,allPara142,allPara143,allPara144,allPara145,allPara146,allPara147,allPara148,allPara149,allPara150,allPara151,allPara152,allPara153,allPara154,allPara155,allPara156,allPara157,allPara158,allPara159,allPara160,allPara161,allPara162,allPara163,allPara164,allPara165,allPara166,allPara167,allPara168,allPara169,allPara170,allPara171,allPara172,allPara173,allPara174,allPara175,allPara176,allPara177,allPara178,allPara179,allPara180,allPara181,allPara182,allPara183,allPara184,allPara185,allPara186,allPara187,allPara188,allPara189,allPara190,allPara191,allPara192,allPara193,allPara194,allPara195,allPara196,allPara197,allPara198,allPara199,allPara200,allPara201,allPara202,allPara203,allPara204,allPara205,allPara206,allPara207,allPara208,allPara209,allPara210,allPara211,allPara212,allPara213,allPara214,allPara215,allPara216,allPara217,allPara218,allPara219,allPara220,allPara221,allPara222,allPara223,allPara224,allPara225,allPara226,allPara227,allPara228,allPara229,allPara230,allPara231,allPara232,allPara233,allPara234,allPara235,allPara236,allPara237,allPara238,allPara239,allPara240,allPara241,allPara242,allPara243,allPara244,allPara245,allPara246,allPara247,allPara248,allPara249,allPara250,allPara251,allPara252,allPara253,allPara254,allPara255,allPara256,allPara257,allPara258,allPara259,allPara260,allPara261,allPara262,allPara263,allPara264,allPara265,allPara266,allPara267,allPara268,allPara269,allPara270,allPara271,allPara272,allPara273,allPara274,allPara275,allPara276,allPara277,allPara278,allPara279,allPara280,allPara281,allPara282,allPara283,allPara284,allPara285,allPara286,allPara287,allPara288,allPara289,allPara290,allPara291,allPara292,allPara293,allPara294,allPara295,allPara296,allPara297,allPara298,allPara299,allPara300,allPara301,allPara302,allPara303,allPara304,allPara305,allPara306,allPara307,allPara308,allPara309,allPara310,allPara311,allPara312,allPara313,allPara314,allPara315,allPara316,allPara317,allPara318,allPara319,allPara320,allPara321,allPara322,allPara323,allPara324,allPara325,allPara326,allPara327,allPara328,allPara329,allPara330,allPara331,allPara332,allPara333,allPara334,allPara335,allPara336,allPara337,allPara338,allPara339,allPara340,allPara341,allPara342,allPara343,allPara344,allPara345,allPara346,allPara347,allPara348,allPara349,allPara350,allPara351,allPara352,allPara353,allPara354,allPara355,allPara356,allPara357,allPara358,allPara359,allPara360,allPara361
stimulatorChannel,1,43,43,22,43,22,1,8,46,43,64,19,8,46,8,43,8,46,100,43,100,19,43,46,64,8,19,57,8,1,22,46,43,57,43,46,22,64,64,43,8,1,1,46,8,19,19,64,64,64,46,100,100,8,64,64,22,100,100,57,22,46,64,100,43,1,64,64,1,43,19,57,43,22,22,1,100,1,43,8,46,100,8,1,19,43,1,100,57,57,46,57,43,22,46,22,8,64,100,43,1,46,46,57,43,100,57,100,8,46,57,1,46,1,19,64,22,57,100,46,64,46,19,19,57,57,46,64,43,1,57,19,22,1,64,46,64,57,57,64,22,8,46,43,46,43,43,100,46,1,19,57,64,64,8,19,100,57,22,64,64,100,57,100,19,1,19,43,57,22,19,8,1,100,43,46,43,43,46,100,100,100,43,19,1,1,19,64,22,57,8,19,43,1,8,1,64,8,46,46,22,19,19,1,22,43,19,46,22,43,64,57,100,46,19,19,57,64,8,22,22,19,22,8,100,22,100,1,1,1,1,8,19,64,64,1,1,22,43,64,57,8,19,22,46,46,46,1,64,57,22,57,100,19,8,8,100,57,22,8,46,57,22,64,64,8,100,22,46,100,64,19,8,57,19,43,43,1,22,22,8,1,22,19,57,64,22,46,22,57,1,1,43,8,8,100,8,8,19,43,100,22,8,43,19,8,64,64,1,19,57,64,22,57,1,8,57,19,46,100,46,43,100,57,57,19,46,1,8,1,22,64,1,43,100,8,57,22,19,100,100,100,19,57,46,57,22,19,8,19,100,22,8,46,100,43,57,64,100,43,22
freq,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,200,300,200,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,200,200,300,300,300,300,200,200,300,300,300,300,200,300,300,300,300,300,300,300,300,300,300,300,300,200,300,300,300,300,200,300,300,300,300,300,200,300,300,300,300,300,300,300,300,300,300,200,300,300,300,300,300,300,200,300,200,300,300,300,300,300,300,300,300,300,300,200,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,200,300,300,300,300,300,300,300,300,200,300,300,300,300,200,300,200,300,300,300,300,300,300,300,300,300,200,300,300,300,300,300,200,200,200,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,200,300,300,300,300,300,300,300,300,300,300,300,200,300,200,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,200,300,300,300,200,300,300,300,300,300,300,300,300,300,200,300,300,200,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,200,300,300,300,300,200,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,200,300,300,200,300,300,300,300,300,300,300,300,300,300,300,200,300,300,300,300,200,200,200,300,300,300,300,300,300,300,300,200,300,300,300,200,300,300,300,200,300,300
currentLevel,10,10,20,80,80,10,40,20,10,80,40,40,20,40,40,10,10,40,3,10,3,10,80,20,10,40,10,40,40,80,20,10,40,10,40,80,80,10,10,40,80,40,40,10,40,20,40,20,10,40,20,3,3,40,80,40,40,3,3,10,20,20,80,3,80,80,20,20,20,20,80,80,10,20,10,40,3,20,80,10,80,3,20,10,40,40,40,3,10,20,40,10,80,10,20,80,80,40,3,20,20,80,80,40,80,3,20,3,80,80,80,80,40,10,80,80,80,40,3,40,10,40,20,80,20,10,10,10,20,10,40,20,10,10,20,10,10,20,20,10,10,10,20,80,20,20,40,3,20,40,80,40,40,20,10,20,3,20,10,20,20,3,40,3,10,80,20,10,10,40,80,10,20,3,40,20,80,80,10,3,3,3,20,80,40,20,80,40,80,80,80,10,20,80,40,20,40,20,80,80,20,10,20,40,80,20,40,40,40,10,80,40,3,10,20,10,20,20,40,20,80,20,10,80,3,20,3,80,80,40,10,10,40,80,10,20,80,20,40,10,80,20,10,40,80,80,10,20,80,40,10,80,3,10,10,20,3,20,40,40,40,10,40,40,20,20,3,20,20,3,80,80,80,40,40,20,10,10,20,40,10,20,80,10,10,80,10,10,80,80,10,80,40,20,80,3,40,80,20,10,3,10,80,10,80,10,40,80,40,40,80,20,80,10,80,80,40,40,40,3,20,20,3,20,80,80,40,20,40,10,20,80,10,40,3,20,20,40,20,3,3,3,40,10,80,80,40,40,20,10,3,40,10,10,3,10,80,40,3,40,80
numPulses,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,25,50,11,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,104,11,50,50,50,50,11,104,50,50,50,50,14,50,50,50,50,50,50,50,50,50,50,50,50,32,50,50,50,50,115,50,50,50,50,50,118,50,50,50,50,50,50,50,50,50,50,115,50,50,50,50,50,50,25,50,97,50,50,50,50,50,50,50,50,50,50,104,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,11,50,50,50,50,50,50,50,50,14,50,50,50,50,115,50,11,50,50,50,50,50,50,50,50,50,32,50,50,50,50,50,115,104,32,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,25,50,50,50,50,50,50,50,50,50,50,50,25,50,97,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,118,50,50,50,118,50,50,50,50,50,50,50,50,50,25,50,50,118,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,32,50,50,50,50,104,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,14,50,50,97,50,50,50,50,50,50,50,50,50,50,50,14,50,50,50,50,115,118,14,50,50,50,50,50,50,50,50,97,50,50,50,32,50,50,50,97,50,50
phaseWidth,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,7,170,5,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,2,5,170,170,170,170,5,2,170,170,170,170,6,170,170,170,170,170,170,170,170,170,170,170,170,8,170,170,170,170,3,170,170,170,170,170,4,170,170,170,170,170,170,170,170,170,170,3,170,170,170,170,170,170,7,170,1,170,170,170,170,170,170,170,170,170,170,2,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,5,170,170,170,170,170,170,170,170,6,170,170,170,170,3,170,5,170,170,170,170,170,170,170,170,170,8,170,170,170,170,170,3,2,8,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,7,170,170,170,170,170,170,170,170,170,170,170,7,170,1,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,4,170,170,170,4,170,170,170,170,170,170,170,170,170,7,170,170,4,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,8,170,170,170,170,2,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,6,170,170,1,170,170,170,170,170,170,170,170,170,170,170,6,170,170,170,170,3,4,6,170,170,170,170,170,170,170,170,1,170,170,170,8,170,170,170,1,170,170
interphase,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,281,60,267,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,360,267,60,60,60,60,267,360,60,60,60,60,270,60,60,60,60,60,60,60,60,60,60,60,60,288,60,60,60,60,371,60,60,60,60,60,374,60,60,60,60,60,60,60,60,60,60,371,60,60,60,60,60,60,281,60,353,60,60,60,60,60,60,60,60,60,60,360,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,267,60,60,60,60,60,60,60,60,270,60,60,60,60,371,60,267,60,60,60,60,60,60,60,60,60,288,60,60,60,60,60,371,360,288,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,281,60,60,60,60,60,60,60,60,60,60,60,281,60,353,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,374,60,60,60,374,60,60,60,60,60,60,60,60,60,281,60,60,374,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,288,60,60,60,60,360,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,270,60,60,353,60,60,60,60,60,60,60,60,60,60,60,270,60,60,60,60,371,374,270,60,60,60,60,60,60,60,60,353,60,60,60,288,60,60,60,353,60,60
stimulatorHW_ID,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,-1,65338,-1,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,-1,-1,65338,65338,65338,65338,-1,-1,65338,65338,65338,65338,-1,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,-1,65338,65338,65338,65338,-1,65338,65338,65338,65338,65338,-1,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,-1,65338,65338,65338,65338,65338,65338,-1,65338,-1,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,-1,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,-1,65338,65338,65338,65338,65338,65338,65338,65338,-1,65338,65338,65338,65338,-1,65338,-1,65338,65338,65338,65338,65338,65338,65338,65338,65338,-1,65338,65338,65338,65338,65338,-1,-1,-1,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,-1,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,-1,65338,-1,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,-1,65338,65338,65338,-1,65338,65338,65338,65338,65338,65338,65338,65338,65338,-1,65338,65338,-1,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,-1,65338,65338,65338,65338,-1,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,-1,65338,65338,-1,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,65338,-1,65338,65338,65338,65338,-1,-1,-1,65338,65338,65338,65338,65338,65338,65338,65338,-1,65338,65338,65338,-1,65338,65338,65338,-1,65338,65338
backgroundLum,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1,0.5,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1,-1,0.5,0.5,0.5,0.5,-1,-1,0.5,0.5,0.5,0.5,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1,0.5,0.5,0.5,0.5,-1,0.5,0.5,0.5,0.5,0.5,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1,0.5,0.5,0.5,0.5,0.5,0.5,-1,0.5,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1,0.5,0.5,0.5,0.5,-1,0.5,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1,0.5,0.5,0.5,0.5,0.5,-1,-1,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1,0.5,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1,0.5,0.5,0.5,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1,0.5,0.5,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1,0.5,0.5,0.5,0.5,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1,0.5,0.5,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1,0.5,0.5,0.5,0.5,-1,-1,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1,0.5,0.5,0.5,-1,0.5,0.5,0.5,-1,0.5,0.5
CondID,1,17,18,16,20,13,3,6,21,20,31,11,6,23,7,17,5,23,-1,17,-1,9,20,22,29,7,9,27,7,4,14,21,19,25,19,24,16,29,29,19,8,3,3,21,7,10,11,30,29,31,22,-1,-1,7,32,31,15,-1,-1,25,14,22,32,-1,20,4,30,30,2,18,12,28,17,14,13,3,-1,2,20,5,24,-1,6,1,11,19,3,-1,25,26,23,25,20,13,22,16,8,31,-1,18,2,24,24,27,20,-1,26,-1,8,24,28,4,23,1,12,32,16,27,-1,23,29,23,10,12,26,25,21,29,18,1,27,10,13,1,30,21,29,26,26,29,13,5,22,20,22,18,19,-1,22,3,12,27,31,30,5,10,-1,26,13,30,30,-1,27,-1,9,4,10,17,25,15,12,5,2,-1,19,22,20,20,21,-1,-1,-1,18,12,3,2,12,31,16,28,8,9,18,4,7,2,31,6,24,24,14,9,10,3,16,18,11,23,15,17,32,27,-1,21,10,9,26,30,7,14,16,10,13,8,-1,14,-1,4,4,3,1,5,11,32,29,2,4,14,19,29,28,6,9,15,24,24,21,2,32,27,13,28,-1,9,5,6,-1,26,15,7,23,25,15,31,30,6,-1,14,22,-1,32,12,8,27,11,18,17,1,14,15,5,2,16,9,25,32,13,21,16,28,1,4,19,6,8,-1,7,8,10,17,-1,13,8,17,12,5,31,32,3,11,28,30,16,25,4,8,27,11,23,-1,22,18,-1,26,28,12,23,2,7,1,14,32,1,19,-1,6,26,15,10,-1,-1,-1,11,25,24,28,15,11,6,9,-1,15,5,21,-1,17,28,31,-1,19,16
ValidTrialFlag,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
errorCodeString,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,StimBreak,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
microStimFlag,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1
